tornado_id,before_path,after_path,status,before_aligned_path,after_aligned_path,actions,warnings,error
TOR10,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/data/raw/rasters/TOR10_BEST_BEFORE_win25d.tif,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/data/raw/rasters/TOR10_BEST_AFTER_win10d.tif,OK,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/outputs/preprocessed/TOR10/before_aligned.tif,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/outputs/preprocessed/TOR10/after_aligned.tif,"rasters already aligned; copied readable blocks; unreadable blocks preserved as NoData: BEFORE=63, AFTER=63",,
TOR11,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/data/raw/rasters/TOR11_BEST_BEFORE_win35d.tif,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/data/raw/rasters/TOR11_BEST_AFTER_win35d.tif,OK,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/outputs/preprocessed/TOR11/before_aligned.tif,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/outputs/preprocessed/TOR11/after_aligned.tif,"rasters already aligned; copied readable blocks; unreadable blocks preserved as NoData: BEFORE=159, AFTER=158",,
TOR12,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/data/raw/rasters/TOR12_BEST_BEFORE_win25d.tif,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/data/raw/rasters/TOR12_BEST_AFTER_win10d.tif,OK,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/outputs/preprocessed/TOR12/before_aligned.tif,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/outputs/preprocessed/TOR12/after_aligned.tif,"rasters already aligned; copied readable blocks; unreadable blocks preserved as NoData: BEFORE=31, AFTER=32",,
TOR13,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/data/raw/rasters/TOR13_BEST_BEFORE_win25d.tif,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/data/raw/rasters/TOR13_BEST_AFTER_win10d.tif,OK,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/outputs/preprocessed/TOR13/before_aligned.tif,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/outputs/preprocessed/TOR13/after_aligned.tif,"rasters already aligned; copied readable blocks; unreadable blocks preserved as NoData: BEFORE=39, AFTER=39",,
TOR15,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/data/raw/rasters/TOR15_BEST_BEFORE_win25d.tif,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/data/raw/rasters/TOR15_BEST_AFTER_win45d.tif,OK,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/outputs/preprocessed/TOR15/before_aligned.tif,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/outputs/preprocessed/TOR15/after_aligned.tif,"rasters already aligned; copied readable blocks; unreadable blocks preserved as NoData: BEFORE=51, AFTER=52",,
TOR16,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/data/raw/rasters/TOR16_BEST_BEFORE_win20d.tif,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/data/raw/rasters/TOR16_BEST_AFTER_win15d.tif,OK,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/outputs/preprocessed/TOR16/before_aligned.tif,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/outputs/preprocessed/TOR16/after_aligned.tif,"rasters already aligned; copied readable blocks; unreadable blocks preserved as NoData: BEFORE=82, AFTER=80",,
TOR18,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/data/raw/rasters/TOR18_BEST_BEFORE_win20d.tif,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/data/raw/rasters/TOR18_BEST_AFTER_win20d.tif,OK,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/outputs/preprocessed/TOR18/before_aligned.tif,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/outputs/preprocessed/TOR18/after_aligned.tif,"rasters already aligned; copied readable blocks; unreadable blocks preserved as NoData: BEFORE=66, AFTER=66",,
TOR24,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/data/raw/rasters/TOR24_BEST_BEFORE_win5d.tif,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/data/raw/rasters/TOR24_BEST_AFTER_win10d.tif,OK,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/outputs/preprocessed/TOR24/before_aligned.tif,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/outputs/preprocessed/TOR24/after_aligned.tif,"rasters already aligned; copied readable blocks; unreadable blocks preserved as NoData: BEFORE=5, AFTER=5",,
TOR5,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/data/raw/rasters/TOR5_BEST_BEFORE_win20d.tif,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/data/raw/rasters/TOR5_BEST_AFTER_win50d.tif,OK,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/outputs/preprocessed/TOR5/before_aligned.tif,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/outputs/preprocessed/TOR5/after_aligned.tif,"rasters already aligned; copied readable blocks; unreadable blocks preserved as NoData: BEFORE=0, AFTER=1",,
TOR61,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/data/raw/rasters/TOR61_BEST_BEFORE_win45d.tif,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/data/raw/rasters/TOR61_BEST_AFTER_win40d.tif,OK,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/outputs/preprocessed/TOR61/before_aligned.tif,/Users/m.mahin/Documents/New project 2/Spatial-Analysis/outputs/preprocessed/TOR61/after_aligned.tif,"rasters already aligned; copied readable blocks; unreadable blocks preserved as NoData: BEFORE=25, AFTER=24",,
